date,open.amount,open.currency,high.amount,high.currency,low.amount,low.currency,close.amount,close.currency,close_unadj.amount,close_unadj.currency,volume
2015-12-28 14:30:00,2.9100000000,USD,3.0200000000,USD,2.8600000000,USD,3.0000000000,USD,3.0000000000,USD,16050500
2015-12-29 14:30:00,3.0400000000,USD,3.0600000000,USD,2.9700000000,USD,3.0000000000,USD,3.0000000000,USD,15300900
2015-12-30 14:30:00,2.9900000000,USD,3.0400000000,USD,2.9300000000,USD,2.9800000000,USD,2.9800000000,USD,10046600
2015-12-31 14:30:00,2.9700000000,USD,3.0100000000,USD,2.8700000000,USD,2.8700000000,USD,2.8700000000,USD,11086100
2016-01-04 14:30:00,2.7700000000,USD,2.8200000000,USD,2.6300000000,USD,2.7700000000,USD,2.7700000000,USD,32516800
2016-01-05 14:30:00,2.7700000000,USD,2.8000000000,USD,2.6400000000,USD,2.7500000000,USD,2.7500000000,USD,12972300
2016-01-06 14:30:00,2.6600000000,USD,2.7100000000,USD,2.4700000000,USD,2.5100000000,USD,2.5100000000,USD,23759400
2016-01-07 14:30:00,2.4300000000,USD,2.4800000000,USD,2.2600000000,USD,2.2800000000,USD,2.2800000000,USD,22203500
2016-01-08 14:30:00,2.3600000000,USD,2.4200000000,USD,2.1000000000,USD,2.1400000000,USD,2.1400000000,USD,31822400
2016-01-11 14:30:00,2.1600000000,USD,2.3600000000,USD,2.1200000000,USD,2.3400000000,USD,2.3400000000,USD,19629300
2016-01-12 14:30:00,2.4000000000,USD,2.4600000000,USD,2.2800000000,USD,2.3900000000,USD,2.3900000000,USD,17986100
2016-01-13 14:30:00,2.4000000000,USD,2.4500000000,USD,2.2100000000,USD,2.2500000000,USD,2.2500000000,USD,12749700
2016-01-14 14:30:00,2.2900000000,USD,2.3500000000,USD,2.2100000000,USD,2.2100000000,USD,2.2100000000,USD,15666600
2016-01-15 14:30:00,2.1000000000,USD,2.1300000000,USD,1.9900000000,USD,2.0300000000,USD,2.0300000000,USD,21199300
2016-01-19 14:30:00,2.0800000000,USD,2.1100000000,USD,1.9000000000,USD,1.9500000000,USD,1.9500000000,USD,18978900
2016-01-20 14:30:00,1.8100000000,USD,1.9500000000,USD,1.7500000000,USD,1.8000000000,USD,1.8000000000,USD,29243600
2016-01-21 14:30:00,1.8200000000,USD,2.1800000000,USD,1.8100000000,USD,2.0900000000,USD,2.0900000000,USD,26387900
2016-01-22 14:30:00,2.1100000000,USD,2.1700000000,USD,1.9800000000,USD,2.0200000000,USD,2.0200000000,USD,16245500
2016-01-25 14:30:00,2.0100000000,USD,2.1500000000,USD,2.0100000000,USD,2.1200000000,USD,2.1200000000,USD,13080900
2016-01-26 14:30:00,2.1400000000,USD,2.1500000000,USD,2.0300000000,USD,2.0700000000,USD,2.0700000000,USD,11097400
2016-01-27 14:30:00,2.0800000000,USD,2.1800000000,USD,2.0700000000,USD,2.1300000000,USD,2.1300000000,USD,10833200
2016-01-28 14:30:00,2.1600000000,USD,2.1700000000,USD,2.0700000000,USD,2.0800000000,USD,2.0800000000,USD,7118400
2016-01-29 14:30:00,2.0900000000,USD,2.2000000000,USD,2.0700000000,USD,2.2000000000,USD,2.2000000000,USD,11998100
2016-02-01 14:30:00,2.1700000000,USD,2.1900000000,USD,2.1100000000,USD,2.1400000000,USD,2.1400000000,USD,8816100
2016-02-02 14:30:00,2.1100000000,USD,2.1400000000,USD,1.9600000000,USD,1.9900000000,USD,1.9900000000,USD,11224100
2016-02-03 14:30:00,2.0400000000,USD,2.0800000000,USD,1.9500000000,USD,2.0700000000,USD,2.0700000000,USD,9978600
2016-02-04 14:30:00,2.0600000000,USD,2.1700000000,USD,2.0300000000,USD,2.0900000000,USD,2.0900000000,USD,8284800
2016-02-05 14:30:00,2.0600000000,USD,2.0800000000,USD,1.9800000000,USD,1.9800000000,USD,1.9800000000,USD,7914400
2016-02-08 14:30:00,1.9700000000,USD,1.9800000000,USD,1.8700000000,USD,1.9300000000,USD,1.9300000000,USD,11589000
2016-02-09 14:30:00,1.8900000000,USD,2.0000000000,USD,1.8500000000,USD,1.9000000000,USD,1.9000000000,USD,14991500
2016-02-10 14:30:00,1.9200000000,USD,1.9800000000,USD,1.8300000000,USD,1.8400000000,USD,1.8400000000,USD,9466100
2016-02-11 14:30:00,1.8200000000,USD,1.9400000000,USD,1.8100000000,USD,1.8600000000,USD,1.8600000000,USD,7858300
2016-02-12 14:30:00,1.8900000000,USD,1.9100000000,USD,1.8200000000,USD,1.8300000000,USD,1.8300000000,USD,9957300
2016-02-16 14:30:00,1.8600000000,USD,1.9000000000,USD,1.8200000000,USD,1.8300000000,USD,1.8300000000,USD,11853400
2016-02-17 14:30:00,1.8500000000,USD,1.9400000000,USD,1.8500000000,USD,1.9000000000,USD,1.9000000000,USD,13770200
2016-02-18 14:30:00,1.9300000000,USD,1.9800000000,USD,1.9000000000,USD,1.9100000000,USD,1.9100000000,USD,10823400
2016-02-19 14:30:00,1.9300000000,USD,1.9300000000,USD,1.8300000000,USD,1.9100000000,USD,1.9100000000,USD,7784100
2016-02-22 14:30:00,1.9400000000,USD,2.0400000000,USD,1.9300000000,USD,2.0100000000,USD,2.0100000000,USD,9895500
2016-02-23 14:30:00,2.0400000000,USD,2.0600000000,USD,1.9700000000,USD,1.9700000000,USD,1.9700000000,USD,6710600
2016-02-24 14:30:00,1.9800000000,USD,2.0400000000,USD,1.9300000000,USD,2.0200000000,USD,2.0200000000,USD,6906200
2016-02-25 14:30:00,2.0200000000,USD,2.0400000000,USD,1.9800000000,USD,2.0300000000,USD,2.0300000000,USD,5614400
2016-02-26 14:30:00,2.0400000000,USD,2.1000000000,USD,2.0300000000,USD,2.0700000000,USD,2.0700000000,USD,7911500
2016-02-29 14:30:00,2.0600000000,USD,2.1500000000,USD,2.0500000000,USD,2.1400000000,USD,2.1400000000,USD,11400300
2016-03-01 14:30:00,2.1600000000,USD,2.2000000000,USD,2.1200000000,USD,2.1800000000,USD,2.1800000000,USD,9011200
2016-03-02 14:30:00,2.2000000000,USD,2.3300000000,USD,2.1800000000,USD,2.3200000000,USD,2.3200000000,USD,10845700
2016-03-03 14:30:00,2.3200000000,USD,2.5500000000,USD,2.3000000000,USD,2.4600000000,USD,2.4600000000,USD,22092400
2016-03-04 14:30:00,2.4200000000,USD,2.5000000000,USD,2.3400000000,USD,2.3700000000,USD,2.3700000000,USD,15449000
2016-03-07 14:30:00,2.3600000000,USD,2.4700000000,USD,2.3600000000,USD,2.4700000000,USD,2.4700000000,USD,8754300
2016-03-08 14:30:00,2.4400000000,USD,2.4600000000,USD,2.3000000000,USD,2.3000000000,USD,2.3000000000,USD,10026900
2016-03-09 14:30:00,2.3200000000,USD,2.3500000000,USD,2.2000000000,USD,2.2600000000,USD,2.2600000000,USD,13082400
2016-03-10 14:30:00,2.2900000000,USD,2.3100000000,USD,2.1500000000,USD,2.2600000000,USD,2.2600000000,USD,9603500
2016-03-11 14:30:00,2.2900000000,USD,2.5400000000,USD,2.2900000000,USD,2.5200000000,USD,2.5200000000,USD,21382400
2016-03-14 13:30:00,2.5300000000,USD,2.7500000000,USD,2.5000000000,USD,2.7200000000,USD,2.7200000000,USD,33848000
2016-03-15 13:30:00,2.6700000000,USD,2.6900000000,USD,2.4500000000,USD,2.4900000000,USD,2.4900000000,USD,21573600
2016-03-16 13:30:00,2.5000000000,USD,2.6400000000,USD,2.4900000000,USD,2.6300000000,USD,2.6300000000,USD,13015700
2016-03-17 13:30:00,2.7700000000,USD,2.8100000000,USD,2.7000000000,USD,2.8000000000,USD,2.8000000000,USD,29000800
2016-03-18 13:30:00,2.8000000000,USD,2.9300000000,USD,2.7700000000,USD,2.9300000000,USD,2.9300000000,USD,26330500
2016-03-21 13:30:00,2.9000000000,USD,2.9000000000,USD,2.7500000000,USD,2.8000000000,USD,2.8000000000,USD,13464900
2016-03-22 13:30:00,2.7300000000,USD,2.8500000000,USD,2.7100000000,USD,2.7900000000,USD,2.7900000000,USD,10315800
2016-03-23 13:30:00,2.8000000000,USD,2.8300000000,USD,2.6800000000,USD,2.6800000000,USD,2.6800000000,USD,10167100
2016-03-24 13:30:00,2.6900000000,USD,2.8100000000,USD,2.6200000000,USD,2.7900000000,USD,2.7900000000,USD,10040200
2016-03-28 13:30:00,2.8100000000,USD,2.8400000000,USD,2.7300000000,USD,2.7800000000,USD,2.7800000000,USD,7683700
2016-03-29 13:30:00,2.7400000000,USD,2.8800000000,USD,2.7000000000,USD,2.8600000000,USD,2.8600000000,USD,13616200
2016-03-30 13:30:00,2.8800000000,USD,2.9800000000,USD,2.8500000000,USD,2.8600000000,USD,2.8600000000,USD,14945900
2016-03-31 13:30:00,2.8400000000,USD,2.8800000000,USD,2.8000000000,USD,2.8500000000,USD,2.8500000000,USD,9071500
2016-04-01 13:30:00,2.7900000000,USD,2.8800000000,USD,2.7600000000,USD,2.8300000000,USD,2.8300000000,USD,8257700
2016-04-04 13:30:00,2.8300000000,USD,2.8700000000,USD,2.8000000000,USD,2.8300000000,USD,2.8300000000,USD,5591100
2016-04-05 13:30:00,2.7600000000,USD,2.8400000000,USD,2.7200000000,USD,2.7600000000,USD,2.7600000000,USD,9640200
2016-04-06 13:30:00,2.7500000000,USD,2.8000000000,USD,2.7200000000,USD,2.8000000000,USD,2.8000000000,USD,12534600
2016-04-07 13:30:00,2.7600000000,USD,2.8300000000,USD,2.6100000000,USD,2.6400000000,USD,2.6400000000,USD,13479200
2016-04-08 13:30:00,2.7000000000,USD,2.7600000000,USD,2.6800000000,USD,2.7400000000,USD,2.7400000000,USD,8489000
2016-04-11 13:30:00,2.7600000000,USD,2.8200000000,USD,2.7400000000,USD,2.7600000000,USD,2.7600000000,USD,9045100
2016-04-12 13:30:00,2.7900000000,USD,2.8500000000,USD,2.7600000000,USD,2.8100000000,USD,2.8100000000,USD,16131900
2016-04-13 13:30:00,2.7800000000,USD,2.8200000000,USD,2.7300000000,USD,2.8000000000,USD,2.8000000000,USD,8048000
2016-04-14 13:30:00,2.7700000000,USD,2.7900000000,USD,2.7000000000,USD,2.7200000000,USD,2.7200000000,USD,8985300
2016-04-15 13:30:00,2.7200000000,USD,2.7500000000,USD,2.6800000000,USD,2.7000000000,USD,2.7000000000,USD,7487500
2016-04-18 13:30:00,2.6700000000,USD,2.8000000000,USD,2.6500000000,USD,2.7600000000,USD,2.7600000000,USD,8938800
2016-04-19 13:30:00,2.7800000000,USD,2.7800000000,USD,2.6100000000,USD,2.6200000000,USD,2.6200000000,USD,11719900
2016-04-20 13:30:00,2.6200000000,USD,2.7200000000,USD,2.6100000000,USD,2.7000000000,USD,2.7000000000,USD,7926100
2016-04-21 13:30:00,2.6500000000,USD,2.7000000000,USD,2.6000000000,USD,2.6200000000,USD,2.6200000000,USD,13957200
2016-04-22 13:30:00,3.1900000000,USD,3.9900000000,USD,3.1800000000,USD,3.9900000000,USD,3.9900000000,USD,143265300
2016-04-25 13:30:00,3.8100000000,USD,3.8200000000,USD,3.3100000000,USD,3.4500000000,USD,3.4500000000,USD,80607900
2016-04-26 13:30:00,3.4500000000,USD,3.7500000000,USD,3.4400000000,USD,3.6600000000,USD,3.6600000000,USD,36336900
2016-04-27 13:30:00,3.5500000000,USD,3.7500000000,USD,3.5300000000,USD,3.7300000000,USD,3.7300000000,USD,24186800
2016-04-28 13:30:00,3.6900000000,USD,3.8000000000,USD,3.6000000000,USD,3.6100000000,USD,3.6100000000,USD,20230000
2016-04-29 13:30:00,3.6900000000,USD,3.6900000000,USD,3.4500000000,USD,3.5500000000,USD,3.5500000000,USD,17717800
2016-05-02 13:30:00,3.5800000000,USD,3.7500000000,USD,3.5700000000,USD,3.7400000000,USD,3.7400000000,USD,16972800
2016-05-03 13:30:00,3.7000000000,USD,3.7100000000,USD,3.5800000000,USD,3.6000000000,USD,3.6000000000,USD,13784800
2016-05-04 13:30:00,3.5400000000,USD,3.6700000000,USD,3.5400000000,USD,3.6000000000,USD,3.6000000000,USD,8688500
2016-05-05 13:30:00,3.6400000000,USD,3.8000000000,USD,3.6100000000,USD,3.6600000000,USD,3.6600000000,USD,21529600
2016-05-06 13:30:00,3.6500000000,USD,3.7500000000,USD,3.6400000000,USD,3.6800000000,USD,3.6800000000,USD,11839300
2016-05-09 13:30:00,3.6600000000,USD,3.6800000000,USD,3.4500000000,USD,3.6500000000,USD,3.6500000000,USD,16299400
2016-05-10 13:30:00,3.6600000000,USD,3.6800000000,USD,3.5600000000,USD,3.6400000000,USD,3.6400000000,USD,9415100
2016-05-11 13:30:00,3.6100000000,USD,3.6800000000,USD,3.6000000000,USD,3.6500000000,USD,3.6500000000,USD,7540300
2016-05-12 13:30:00,3.6500000000,USD,3.6800000000,USD,3.5500000000,USD,3.5900000000,USD,3.5900000000,USD,9255800
2016-05-13 13:30:00,3.5600000000,USD,3.7300000000,USD,3.5500000000,USD,3.6700000000,USD,3.6700000000,USD,16470100
2016-05-16 13:30:00,3.6700000000,USD,3.8500000000,USD,3.6500000000,USD,3.7900000000,USD,3.7900000000,USD,14703800
2016-05-17 13:30:00,3.8000000000,USD,3.9800000000,USD,3.6900000000,USD,3.7900000000,USD,3.7900000000,USD,20066100
2016-05-18 13:30:00,3.7900000000,USD,3.9700000000,USD,3.7700000000,USD,3.8400000000,USD,3.8400000000,USD,19487500
2016-05-19 13:30:00,3.8300000000,USD,3.8500000000,USD,3.6900000000,USD,3.7700000000,USD,3.7700000000,USD,17696900
2016-05-20 13:30:00,3.8300000000,USD,3.9000000000,USD,3.8100000000,USD,3.8700000000,USD,3.8700000000,USD,13799600
2016-05-23 13:30:00,3.9000000000,USD,4.2000000000,USD,3.8800000000,USD,4.0400000000,USD,4.0400000000,USD,35467000
2016-05-24 13:30:00,4.0900000000,USD,4.2100000000,USD,3.9200000000,USD,4.2000000000,USD,4.2000000000,USD,34283900
2016-05-25 13:30:00,4.2400000000,USD,4.3500000000,USD,4.1500000000,USD,4.1800000000,USD,4.1800000000,USD,24703600
2016-05-26 13:30:00,4.1900000000,USD,4.3800000000,USD,4.1700000000,USD,4.3500000000,USD,4.3500000000,USD,22625700
2016-05-27 13:30:00,4.3900000000,USD,4.6300000000,USD,4.3700000000,USD,4.6000000000,USD,4.6000000000,USD,34429600
2016-05-31 13:30:00,4.6700000000,USD,4.7100000000,USD,4.5000000000,USD,4.5700000000,USD,4.5700000000,USD,25379200
2016-06-01 13:30:00,4.6000000000,USD,4.6400000000,USD,4.3800000000,USD,4.4300000000,USD,4.4300000000,USD,29696400
2016-06-02 13:30:00,4.3700000000,USD,4.4000000000,USD,4.0700000000,USD,4.2400000000,USD,4.2400000000,USD,35335000
2016-06-03 13:30:00,4.1600000000,USD,4.2000000000,USD,4.0800000000,USD,4.1600000000,USD,4.1600000000,USD,17561800
2016-06-06 13:30:00,4.2000000000,USD,4.5100000000,USD,4.1700000000,USD,4.4700000000,USD,4.4700000000,USD,21329600
2016-06-07 13:30:00,4.5600000000,USD,4.6700000000,USD,4.4700000000,USD,4.5100000000,USD,4.5100000000,USD,20676200
2016-06-08 13:30:00,4.5400000000,USD,4.5600000000,USD,4.3800000000,USD,4.4600000000,USD,4.4600000000,USD,16074300
2016-06-09 13:30:00,4.4100000000,USD,4.5400000000,USD,4.3200000000,USD,4.5200000000,USD,4.5200000000,USD,16219100
2016-06-10 13:30:00,4.4000000000,USD,4.4700000000,USD,4.3000000000,USD,4.3200000000,USD,4.3200000000,USD,15106500
2016-06-13 13:30:00,4.3200000000,USD,4.4800000000,USD,4.3200000000,USD,4.4000000000,USD,4.4000000000,USD,13500700
2016-06-14 13:30:00,4.4000000000,USD,4.5100000000,USD,4.3300000000,USD,4.3900000000,USD,4.3900000000,USD,16757400
2016-06-15 13:30:00,4.4400000000,USD,4.4800000000,USD,4.3000000000,USD,4.4200000000,USD,4.4200000000,USD,11575300
2016-06-16 13:30:00,4.5000000000,USD,4.7500000000,USD,4.4600000000,USD,4.7500000000,USD,4.7500000000,USD,34182700
2016-06-17 13:30:00,4.7500000000,USD,5.2700000000,USD,4.6800000000,USD,5.2600000000,USD,5.2600000000,USD,64894100
2016-06-20 13:30:00,5.3900000000,USD,5.4500000000,USD,5.0900000000,USD,5.1000000000,USD,5.1000000000,USD,43541300
2016-06-21 13:30:00,5.1000000000,USD,5.5000000000,USD,5.0900000000,USD,5.4500000000,USD,5.4500000000,USD,35864600
2016-06-22 13:30:00,5.4600000000,USD,5.5200000000,USD,4.9600000000,USD,5.0200000000,USD,5.0200000000,USD,47943300
2016-06-23 13:30:00,5.1700000000,USD,5.2600000000,USD,5.0500000000,USD,5.2100000000,USD,5.2100000000,USD,29159200
2016-06-24 13:30:00,4.8200000000,USD,5.0700000000,USD,4.7600000000,USD,4.8800000000,USD,4.8800000000,USD,36735200
2016-06-27 13:30:00,4.8800000000,USD,5.0500000000,USD,4.6500000000,USD,4.7200000000,USD,4.7200000000,USD,31025300
2016-06-28 13:30:00,4.9500000000,USD,5.1900000000,USD,4.9100000000,USD,5.1200000000,USD,5.1200000000,USD,29221400
2016-06-29 13:30:00,5.3100000000,USD,5.4000000000,USD,5.1000000000,USD,5.1300000000,USD,5.1300000000,USD,33118300
2016-06-30 13:30:00,5.1300000000,USD,5.1900000000,USD,4.9500000000,USD,5.1400000000,USD,5.1400000000,USD,26124800
2016-07-01 13:30:00,5.0900000000,USD,5.1400000000,USD,5.0000000000,USD,5.0700000000,USD,5.0700000000,USD,18255900
2016-07-05 13:30:00,5.0300000000,USD,5.0500000000,USD,4.8800000000,USD,4.9600000000,USD,4.9600000000,USD,16332500
2016-07-06 13:30:00,4.9100000000,USD,5.1100000000,USD,4.9000000000,USD,5.0400000000,USD,5.0400000000,USD,19392900
2016-07-07 13:30:00,5.0700000000,USD,5.1000000000,USD,4.9400000000,USD,5.0200000000,USD,5.0200000000,USD,15813800
2016-07-08 13:30:00,4.8400000000,USD,5.1500000000,USD,4.8200000000,USD,5.1000000000,USD,5.1000000000,USD,28140700
2016-07-11 13:30:00,5.1300000000,USD,5.1900000000,USD,5.0000000000,USD,5.0100000000,USD,5.0100000000,USD,21027900
2016-07-12 13:30:00,5.0100000000,USD,5.1700000000,USD,5.0100000000,USD,5.1400000000,USD,5.1400000000,USD,20832500
2016-07-13 13:30:00,5.1400000000,USD,5.1900000000,USD,5.0400000000,USD,5.0900000000,USD,5.0900000000,USD,14032500
2016-07-14 13:30:00,5.1500000000,USD,5.2400000000,USD,5.0600000000,USD,5.1700000000,USD,5.1700000000,USD,20050100
2016-07-15 13:30:00,5.2000000000,USD,5.2000000000,USD,5.1000000000,USD,5.1400000000,USD,5.1400000000,USD,14219300
2016-07-18 13:30:00,5.1900000000,USD,5.5700000000,USD,5.1300000000,USD,5.5100000000,USD,5.5100000000,USD,38619400
2016-07-19 13:30:00,5.5000000000,USD,5.5500000000,USD,5.3400000000,USD,5.4100000000,USD,5.4100000000,USD,23439600
2016-07-20 13:30:00,5.4800000000,USD,5.5000000000,USD,5.4000000000,USD,5.4100000000,USD,5.4100000000,USD,20102400
2016-07-21 13:30:00,5.4300000000,USD,5.4500000000,USD,5.1000000000,USD,5.2200000000,USD,5.2200000000,USD,40242000
2016-07-22 13:30:00,5.7300000000,USD,5.9700000000,USD,5.4500000000,USD,5.8400000000,USD,5.8400000000,USD,101838300
2016-07-25 13:30:00,5.9300000000,USD,6.9500000000,USD,5.9200000000,USD,6.7000000000,USD,6.7000000000,USD,118328600
2016-07-26 13:30:00,6.7600000000,USD,7.1600000000,USD,6.7100000000,USD,6.9800000000,USD,6.9800000000,USD,81230600
2016-07-27 13:30:00,6.9300000000,USD,6.9800000000,USD,6.6800000000,USD,6.8500000000,USD,6.8500000000,USD,38567300
2016-07-28 13:30:00,6.7900000000,USD,6.9800000000,USD,6.7400000000,USD,6.8200000000,USD,6.8200000000,USD,27515600
2016-07-29 13:30:00,6.8800000000,USD,6.9600000000,USD,6.7500000000,USD,6.8600000000,USD,6.8600000000,USD,22580500
2016-08-01 13:30:00,6.8900000000,USD,6.9200000000,USD,6.5700000000,USD,6.6400000000,USD,6.6400000000,USD,26729000
2016-08-02 13:30:00,6.5600000000,USD,6.6000000000,USD,6.1500000000,USD,6.2600000000,USD,6.2600000000,USD,40816400
2016-08-03 13:30:00,6.1800000000,USD,6.4500000000,USD,6.1500000000,USD,6.3000000000,USD,6.3000000000,USD,23807800
2016-08-04 13:30:00,6.3900000000,USD,6.6100000000,USD,6.3700000000,USD,6.4700000000,USD,6.4700000000,USD,22411000
2016-08-05 13:30:00,6.5600000000,USD,6.7600000000,USD,6.4700000000,USD,6.6100000000,USD,6.6100000000,USD,20164000
2016-08-08 13:30:00,6.7000000000,USD,6.8500000000,USD,6.6500000000,USD,6.6800000000,USD,6.6800000000,USD,21462200
2016-08-09 13:30:00,6.7500000000,USD,6.7800000000,USD,6.5400000000,USD,6.6000000000,USD,6.6000000000,USD,16772400
2016-08-10 13:30:00,6.3500000000,USD,6.5800000000,USD,6.2500000000,USD,6.4900000000,USD,6.4900000000,USD,29070700
2016-08-11 13:30:00,6.5000000000,USD,6.5900000000,USD,6.4600000000,USD,6.5800000000,USD,6.5800000000,USD,13240300
2016-08-12 13:30:00,6.6000000000,USD,6.7900000000,USD,6.5500000000,USD,6.7300000000,USD,6.7300000000,USD,25466400
2016-08-15 13:30:00,6.7900000000,USD,6.9700000000,USD,6.7800000000,USD,6.9500000000,USD,6.9500000000,USD,28339400
2016-08-16 13:30:00,6.9400000000,USD,6.9400000000,USD,6.6500000000,USD,6.7800000000,USD,6.7800000000,USD,26768800
2016-08-17 13:30:00,6.7000000000,USD,6.7500000000,USD,6.6100000000,USD,6.6800000000,USD,6.6800000000,USD,13791300
2016-08-18 13:30:00,6.7400000000,USD,7.0700000000,USD,6.7300000000,USD,7.0400000000,USD,7.0400000000,USD,30783300
2016-08-19 13:30:00,7.2400000000,USD,8.0000000000,USD,7.2200000000,USD,7.6200000000,USD,7.6200000000,USD,75129300
2016-08-22 13:30:00,7.8300000000,USD,7.9500000000,USD,7.3700000000,USD,7.5800000000,USD,7.5800000000,USD,41519200
2016-08-23 13:30:00,7.6600000000,USD,7.7400000000,USD,7.5300000000,USD,7.6700000000,USD,7.6700000000,USD,27531100
2016-08-24 13:30:00,7.6700000000,USD,7.6700000000,USD,7.3700000000,USD,7.4300000000,USD,7.4300000000,USD,22943900
2016-08-25 13:30:00,7.4900000000,USD,7.4900000000,USD,7.2000000000,USD,7.4700000000,USD,7.4700000000,USD,16451300
2016-08-26 13:30:00,7.4900000000,USD,7.8000000000,USD,7.4600000000,USD,7.6700000000,USD,7.6700000000,USD,31387900
2016-08-29 13:30:00,7.7200000000,USD,7.7900000000,USD,7.5700000000,USD,7.5900000000,USD,7.5900000000,USD,16916300
2016-08-30 13:30:00,7.6100000000,USD,7.6400000000,USD,7.4100000000,USD,7.4900000000,USD,7.4900000000,USD,16088100
2016-08-31 13:30:00,7.5200000000,USD,7.5200000000,USD,7.2800000000,USD,7.4000000000,USD,7.4000000000,USD,18808800
2016-09-01 13:30:00,7.1800000000,USD,7.4400000000,USD,7.0900000000,USD,7.3500000000,USD,7.3500000000,USD,22284600
2016-09-02 13:30:00,7.4900000000,USD,7.6400000000,USD,7.3800000000,USD,7.5100000000,USD,7.5100000000,USD,18538400
2016-09-06 13:30:00,7.5600000000,USD,7.6000000000,USD,7.2500000000,USD,7.3400000000,USD,7.3400000000,USD,24994600
2016-09-07 13:30:00,7.0500000000,USD,7.0700000000,USD,6.7800000000,USD,6.8400000000,USD,6.8400000000,USD,57721900
2016-09-08 13:30:00,6.6400000000,USD,6.6500000000,USD,6.1500000000,USD,6.2300000000,USD,6.2300000000,USD,90814700
2016-09-09 13:30:00,6.2300000000,USD,6.2400000000,USD,5.8500000000,USD,5.9000000000,USD,5.9000000000,USD,170828000
2016-09-12 13:30:00,5.8300000000,USD,6.0700000000,USD,5.7700000000,USD,5.9400000000,USD,5.9400000000,USD,78014400
2016-09-13 13:30:00,5.9200000000,USD,5.9500000000,USD,5.6600000000,USD,5.7400000000,USD,5.7400000000,USD,50819500
2016-09-14 13:30:00,5.7500000000,USD,6.0800000000,USD,5.7500000000,USD,6.0400000000,USD,6.0400000000,USD,64251100
2016-09-15 13:30:00,6.0900000000,USD,6.2000000000,USD,5.9500000000,USD,6.0200000000,USD,6.0200000000,USD,52669500
2016-09-16 13:30:00,6.2200000000,USD,6.2200000000,USD,5.9700000000,USD,6.0500000000,USD,6.0500000000,USD,47829400
2016-09-19 13:30:00,6.1200000000,USD,6.2800000000,USD,6.0800000000,USD,6.1600000000,USD,6.1600000000,USD,37837200
2016-09-20 13:30:00,6.2300000000,USD,6.2800000000,USD,6.1200000000,USD,6.1700000000,USD,6.1700000000,USD,28990900
2016-09-21 13:30:00,6.2000000000,USD,6.3200000000,USD,6.1400000000,USD,6.2900000000,USD,6.2900000000,USD,33450000
2016-09-22 13:30:00,6.3500000000,USD,6.4400000000,USD,6.3300000000,USD,6.3700000000,USD,6.3700000000,USD,35848200
2016-09-23 13:30:00,6.3100000000,USD,6.6500000000,USD,6.3100000000,USD,6.5500000000,USD,6.5500000000,USD,61022400
2016-09-26 13:30:00,6.5400000000,USD,6.5400000000,USD,6.3100000000,USD,6.3200000000,USD,6.3200000000,USD,29875800
2016-09-27 13:30:00,6.4500000000,USD,6.5800000000,USD,6.2900000000,USD,6.5400000000,USD,6.5400000000,USD,30035900
2016-09-28 13:30:00,6.5700000000,USD,6.6500000000,USD,6.4800000000,USD,6.5900000000,USD,6.5900000000,USD,27878300
2016-09-29 13:30:00,6.5700000000,USD,6.7300000000,USD,6.5400000000,USD,6.6700000000,USD,6.6700000000,USD,30746100
2016-09-30 13:30:00,6.7000000000,USD,7.0400000000,USD,6.7000000000,USD,6.9100000000,USD,6.9100000000,USD,47453100
2016-10-03 13:30:00,6.9500000000,USD,7.1500000000,USD,6.8700000000,USD,6.9500000000,USD,6.9500000000,USD,30456700
2016-10-04 13:30:00,7.0000000000,USD,7.0900000000,USD,6.8900000000,USD,6.9700000000,USD,6.9700000000,USD,25770000
2016-10-05 13:30:00,6.9700000000,USD,7.0100000000,USD,6.7000000000,USD,6.7800000000,USD,6.7800000000,USD,31235600
2016-10-06 13:30:00,6.7200000000,USD,6.9800000000,USD,6.6300000000,USD,6.9600000000,USD,6.9600000000,USD,27059700
2016-10-07 13:30:00,6.9200000000,USD,6.9600000000,USD,6.6200000000,USD,6.7500000000,USD,6.7500000000,USD,33059000
2016-10-10 13:30:00,6.8200000000,USD,6.9400000000,USD,6.8000000000,USD,6.8400000000,USD,6.8400000000,USD,13800500
2016-10-11 13:30:00,6.8000000000,USD,6.8400000000,USD,6.3800000000,USD,6.5000000000,USD,6.5000000000,USD,32510800
2016-10-12 13:30:00,6.6400000000,USD,6.7700000000,USD,6.4200000000,USD,6.6200000000,USD,6.6200000000,USD,33592700
